Month,Year,Area,TotalWeight,TotalBiomass,Depth,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,ChlA,TOC,Sal_S,Sal_B,Temp_S,Temp_B,DO_S,DO_B,Turb,pH,SpeciesRichness
April,1996,Shark,73.24659846,10.46379977,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA,17
April,1997,Shark,9.43301502,1.367149963,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA,11
April,1997,Taylor,5.750552501,0.821507491,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA,16
April,1998,Shark,25.57010534,3.652872203,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA,15
April,1998,Taylor,34.56511988,5.360939325,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA,18
April,1999,Shark,84.97747989,12.24865316,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA,15
April,1999,Taylor,9.272686808,1.509188023,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA,12
April,2000,Shark,10.40503132,1.486433047,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA,13
April,2000,Taylor,5.672388821,0.816476438,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA,12
April,2001,Shark,2.56093181,0.49124016,2.566666667,1.138333333,0.964333333,0.174333333,0.539666667,27.843,1.678,26.16533333,0.695,0.044666667,1.478666667,906.3473333,31.2,32.03333333,24.73333333,24.73333333,4.133333333,4,3.476666667,NA,6
April,2001,Taylor,4.02055137,1.196122315,2.083333333,1.0575,0.831,0.2265,2.179833333,25.78783333,3.237166667,22.551,0.328833333,0.026333333,0.601833333,643.125,33.48333333,33.55,24.86666667,24.83333333,6.166666667,6.2,8.013333333,NA,8
April,2002,Shark,12.32419973,1.760599967,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA,13
April,2002,Taylor,19.82340259,2.831914645,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA,16
April,2003,Shark,27.25287465,3.920802341,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333,18
April,2003,Taylor,1.940890358,0.388178085,2.083333333,1.256,1.0815,0.1745,3.637666667,30.26383333,4.8935,25.37033333,0.297666667,0.0995,1.008666667,661.2013333,29.22333333,29.56333333,25.56166667,25.50166667,5.785,5.405,3.281666667,8.046666667,12
April,2004,Shark,22.22717171,3.175310247,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85,18
April,2004,Taylor,12.70683955,2.541367903,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333,16
April,2005,Taylor,0.905776712,0.18115534,2.02,1.161,0.9786,0.1822,1.4266,28.8314,2.5878,26.2436,0.1664,0.0558,0.3154,598.8502,40.734,41.152,23.7,23.562,5.584,5.418,3.25,8.226,6
December,1996,Taylor,4.806828314,0.686689751,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA,13
December,1997,Shark,16.74858119,2.392654456,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA,14
December,1997,Taylor,5.00433727,0.72834084,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA,16
December,1998,Shark,16.020062,2.288580291,2.566666667,4.114666667,3.789333333,0.325333333,1.405333333,49.28566667,5.519333333,43.76633333,0.770666667,0.119666667,2.090333333,930.6456667,10.96666667,11.03333333,24.56666667,24.56666667,4.033333333,4.033333333,7.986666667,NA,16
December,1998,Taylor,17.55886078,2.508408692,2.083333333,2.207333333,1.962833333,0.244666667,2.665,42.8065,4.872,37.93483333,0.468833333,0.066,0.973166667,636.9721667,21.76666667,22.5,24.63333333,24.8,7,7.966666667,3.551666667,NA,15
December,1999,Shark,17.33208053,2.476011499,2.566666667,1.851333333,1.692,0.159333333,0.988666667,53.26333333,2.839333333,50.424,0.418333333,0.051666667,3.333666667,1016.451333,5.566666667,5.6,22.36666667,22.36666667,4.933333333,4.9,3.813333333,NA,15
December,1999,Taylor,2.015956277,0.287993751,2.083333333,1.845666667,1.475666667,0.370166667,3.566166667,43.97116667,5.4115,38.55983333,0.3675,-1666.440667,2.600333333,725.0731667,17.43333333,17.8,19.15,19.16666667,7.916666667,8.066666667,6.983333333,NA,11
December,2000,Shark,22.79852242,3.256931771,2.566666667,2.793333333,2.579,0.214,1.008,24.49233333,3.800666667,20.69166667,0.457,0.076666667,1.628333333,1055.139,14.6,15.1,23.9,23.76666667,4.933333333,4.766666667,2.31,NA,13
December,2000,Taylor,7.898844025,1.128406289,1.95,1.478875,1.27625,0.20275,1.80075,24.923125,3.2795,21.643875,0.622625,0.075875,0.5065,701.125125,24.0875,24.1625,22.775,22.7,6.225,6.2375,2.76375,NA,16
December,2001,Shark,149.6614136,21.38020195,2.566666667,1.25,1.165333333,0.084666667,0.666666667,38.99333333,1.916333333,37.07666667,0.258333333,0.012,1.622,1071.25,5.966666667,6.266666667,23.9,23.96666667,6.033333333,5.966666667,1.533333333,NA,14
December,2001,Taylor,8.638796398,1.234113768,2.083333333,1.324,1.107833333,0.216166667,1.743,29.172,3.066833333,26.1055,0.185333333,0.046,1.199666667,579.771,19.75,19.96666667,24.21666667,24.18333333,7.766666667,7.433333333,6.521666667,NA,14
December,2002,Shark,31.51320605,4.501886577,2.566666667,2.338666667,2.190333333,0.148333333,1.824666667,23.55833333,4.163333333,19.395,0.341666667,0.053666667,1.443,930.8053333,6.6,6.666666667,19.81666667,19.71333333,6.853333333,6.31,1.666666667,7.836666667,19
December,2002,Taylor,1.711182845,0.244454694,2.083333333,1.128833333,0.987333333,0.142,2.174833333,22.58266667,3.303666667,19.27883333,0.317666667,0.163833333,0.932333333,547.1596667,24.00666667,25.58666667,24.08166667,24.11666667,6.728333333,6.18,3.083333333,8.058333333,11
December,2003,Shark,11.88879839,1.698399765,2.566666667,1.636333333,1.512,0.124333333,1.506666667,39.55333333,3.142666667,36.41066667,0.466333333,0.047,2.196,1242.388667,7.15,7.34,19.78,19.80333333,5.93,6.05,2.356666667,7.756666667,16
December,2003,Taylor,7.665020697,1.095002965,2.083333333,0.673333333,0.438,0.2355,1.466,38.01583333,2.139166667,35.877,0.388333333,0.036833333,1.077666667,590.4758333,20.45333333,20.61666667,19.57166667,19.55333333,6.903333333,6.941666667,7.686666667,8.271666667,19
December,2004,Taylor,4.440664977,0.634380709,2.083333333,2.058,1.526,0.532,3.6365,17.81283333,5.6945,12.11833333,0.298,0.052166667,0.694666667,1034.175833,29.45333333,29.46,19.98833333,19.935,5.583333333,5.461666667,2.886666667,8.155,14
February,1996,Shark,50.86044193,7.265777405,2.566666667,2.056,1.902,0.154333333,2.696666667,77.697,4.752666667,72.94466667,0.659333333,0.047,1.630666667,1445.416667,6.933333333,7.333333333,15.83333333,16,8.266666667,8.3,8.983333333,NA,14
February,1997,Shark,12.81509568,1.830727955,2.566666667,3.192666667,2.937666667,0.255,1.227666667,58.20933333,4.420333333,53.789,0.424333333,0.022666667,2.050666667,1320.507,16.2,16.26666667,25.6,25.6,5.233333333,5.233333333,4.55,NA,13
February,1997,Taylor,10.61909101,1.517012999,2.083333333,0.656166667,0.474333333,0.182,1.672333333,39.41116667,2.328166667,37.08316667,0.250166667,0.032333333,0.648666667,676.8611667,25.46666667,26.26666667,24.75,24.8,6.9,6.766666667,8.55,NA,15
February,1998,Shark,26.39045973,3.770065675,2.566666667,1.883666667,1.720333333,0.163666667,0.747,46.62433333,2.630333333,43.994,0.476333333,0.063,1.501666667,1005.444333,9.066666667,9.3,21.96666667,21.86666667,5.8,5.8,3.533333333,NA,15
February,1998,Taylor,6.391842789,0.914875348,2.083333333,2.2115,1.951833333,0.26,5.168,37.13383333,7.379333333,29.75483333,0.393333333,0.042166667,1.113,542.2428333,19.7,20.26666667,24,23.96666667,7.766666667,7.933333333,24.65,NA,14
February,1999,Shark,17.13503684,2.447862409,2.566666667,1.718666667,1.595,0.123666667,0.861666667,47.65866667,2.580333333,45.07833333,0.302,0.024333333,1.324,1072.923667,10.36666667,10.4,21.73333333,21.73333333,6.166666667,6.133333333,2.033333333,NA,16
February,1999,Taylor,11.09268438,1.584669196,2.083333333,1.6415,1.467833333,0.174,2.488833333,42.03533333,4.130166667,37.90516667,0.179666667,0.021166667,0.550333333,-2897.992833,25.95,25.95,24.71666667,24.75,6.966666667,7.016666667,2.465,NA,14
February,2000,Shark,18.74820692,2.678315268,2.566666667,1.314333333,1.255333333,0.059333333,1.739333333,47.778,3.053666667,44.72466667,0.802666667,0.038666667,5.055,1390.764,8.066666667,8.2,21.1,21.06666667,7.566666667,7.7,2.366666667,NA,16
February,2000,Taylor,3.371042649,0.48157752,2.083333333,0.961833333,0.909,0.047666667,0.750166667,30.12366667,1.712333333,28.41133333,0.358333333,0.090833333,1.641666667,664.2951667,21.18333333,21.4,23.13333333,23.1,6.366666667,6.383333333,3.583333333,NA,13
February,2001,Shark,10.086303,1.440900427,2.566666667,1.711,1.541333333,0.170333333,0.725333333,37.431,2.436,34.995,0.771,0.046,1.675666667,991.618,24.73333333,24.96666667,23.93333333,23.93333333,4.7,5.166666667,3.26,NA,9
February,2001,Taylor,6.905153175,0.986450464,2.083333333,0.978666667,0.7555,0.223166667,1.887,38.20983333,2.865166667,35.34466667,0.415333333,0.055833333,0.466,725.9721667,30.91666667,30.95,23.58333333,23.5,6.666666667,6.733333333,7.968333333,NA,14
February,2002,Taylor,21.39312796,3.056161126,2.083333333,0.4945,0.410333333,0.084333333,0.679166667,21.617,1.173666667,20.44316667,0.267333333,0.022166667,1.344833333,593.0071667,23.16333333,22.96833333,19.09166667,19.02,7.551666667,7.428333333,7.115,NA,15
February,2003,Shark,6.478891185,1.037354051,2.566666667,2.871,2.631,0.239666667,1.993333333,46.57766667,4.864333333,41.71333333,0.362666667,0.160333333,2.034666667,963.715,20.10666667,20.19333333,24.59666667,24.46333333,4.403333333,4.09,3.596666667,7.74,18
February,2003,Taylor,2.733754761,0.54675095,2.083333333,1.394,1.159666667,0.234166667,2.666833333,35.64483333,4.060666667,31.58433333,0.268833333,0.1205,0.947333333,582.3578333,27.725,27.6,23.81666667,23.73666667,5.913333333,5.933333333,5.076666667,7.906666667,13
February,2004,Shark,13.94274072,1.991820111,2.566666667,2.739666667,2.545666667,0.194333333,1.725666667,40.08566667,4.465333333,35.62,0.313,0.032333333,1.980666667,1087.020667,10.28666667,10.28,22.11,22.09666667,6.84,6.706666667,1.76,7.526666667,18
February,2004,Taylor,16.67985129,3.335970237,2.083333333,1.065,0.919833333,0.145333333,1.921833333,42.08633333,2.987,39.09933333,0.198,0.039166667,0.578333333,546.6458333,26.52666667,26.515,24.39,24.35833333,5.716666667,5.86,2.106666667,7.995,17
February,2005,Shark,41.59664583,5.942377981,2.566666667,4.119666667,3.692,0.427666667,1.428333333,29.71366667,5.547666667,24.16633333,0.591666667,0.042,1.738666667,1212.159667,14.04666667,14.83666667,20.59,20.44666667,6.58,6.8,2.956666667,7.54,21
February,2005,Taylor,1.617354267,0.323470852,2.083333333,1.345333333,0.952166667,0.393,2.646166667,25.3665,3.991333333,21.375,0.282833333,0.027166667,0.634166667,627.6458333,36.5,36.89166667,22.105,22.085,6.263333333,6.365,2.691666667,8.035,9
July,1996,Shark,33.75854704,4.822649575,2.566666667,1.052,0.742666667,0.309333333,1.420333333,62.391,2.472,59.91933333,0.748666667,0.079333333,3.349333333,1202.361,6.433333333,6.433333333,29.9,29.83333333,4.933333333,4.866666667,5.433333333,NA,15
July,1996,Taylor,4.136301842,0.590900241,2.083333333,0.748666667,0.517666667,0.231,4.609,54.68416667,5.357333333,49.327,0.4215,0.058666667,1.380666667,882.1703333,21.15,21.31666667,30.53333333,30.46666667,6.133333333,6.25,4.88,NA,16
July,1997,Shark,11.52845779,1.646922537,2.566666667,1.864333333,1.626,0.238666667,0.895333333,42.35166667,2.759333333,39.59266667,0.505,0.045333333,3.943666667,1081.993333,5.866666667,5.866666667,29.73333333,29.76666667,3.766666667,3.9,1.713333333,NA,12
July,1997,Taylor,2.767124345,0.396176111,2.083333333,2.628166667,2.213666667,0.414833333,5.2515,53.178,7.8795,45.29916667,0.3645,0.032333333,0.976166667,751.927,20.13333333,20.28333333,30.33333333,30.46666667,5.733333333,5.316666667,7.5,NA,15
July,1998,Shark,8.619458611,1.231351223,2.566666667,0.913333333,0.738666667,0.175333333,0.677666667,54.723,1.591,53.132,0.783666667,0.050333333,3.683,1144.368,18.56666667,18.7,32.06666667,32.06666667,5.566666667,6,1.7,NA,18
July,1998,Taylor,4.295071039,0.615598813,2.083333333,0.517833333,0.401166667,0.116833333,2.594333333,44.41816667,3.112,41.30633333,0.290666667,0.017,1.674666667,744.0901667,31.18333333,32.03333333,29.73333333,30.06666667,4.866666667,4.516666667,2.275,NA,15
July,1999,Shark,32.41943469,4.631347806,2.566666667,1.164333333,0.990333333,0.174666667,0.764333333,49.73333333,1.928666667,47.80466667,0.589666667,-3332.987333,1.971,976.1876667,12.9,13.2,31.96666667,31.83333333,3.266666667,3.266666667,0.76,NA,18
July,1999,Taylor,3.210305219,0.458615021,2.083333333,1.0415,0.691,0.3505,4.6035,48.805,5.644833333,43.16033333,0.368666667,-1666.431167,0.762333333,790.9375,30.61666667,30.63333333,29.65,29.68333333,6.1,5.9,2.231666667,NA,11
July,2000,Shark,10.44444576,1.492063672,2.566666667,1.782666667,1.668666667,0.114333333,0.175666667,28.34,1.958,26.382,0.594666667,0.110666667,1.660666667,1131.326667,16.8,17.26666667,31.7,31.63333333,5.5,5.433333333,1.43,NA,17
July,2000,Taylor,2.629986722,0.375712382,2.083333333,2.012333333,1.946666667,0.065666667,1.317666667,22.934,3.329833333,19.60416667,0.4105,0.140333333,0.6335,742.9273333,32.51666667,29.76666667,31.88333333,31.86666667,5.116666667,5.433333333,2.286666667,NA,12
July,2001,Shark,1.14716845,0.16388121,2.8,2.274,1.9855,0.289,1.6475,43.3765,3.9215,39.4545,0.5,0.0905,2.024,1524.896,9.75,11.1,31.55,31.25,1.35,1.3,1.575,NA,7
July,2001,Taylor,0.938532655,0.134076102,2.02,0.3452,0.2068,0.1384,1.1542,32.669,1.499,31.17,0.2684,0.0244,0.5966,632.3126,39.22,39.22,30.24,30.18,6.2,6.32,4.678,NA,8
July,2002,Shark,2.279870432,0.325695768,2.566666667,0.699666667,0.545333333,0.154333333,0.733666667,24.23966667,1.433333333,22.80633333,0.754333333,0.032666667,4.332,988.8196667,6.156666667,7.19,28.88666667,28.71333333,5.923333333,5.996666667,2.863333333,7.553333333,13
July,2002,Taylor,0.558962399,0.079851772,2.083333333,1.3675,1.195666667,0.171666667,3.417666667,14.35216667,4.785333333,9.5665,0.304666667,0.068166667,2.046,649.1078333,22.39333333,22.805,28.185,28.13166667,4.826666667,4.7,3.598333333,8.141666667,7
July,2003,Shark,26.43218652,3.776026655,2.566666667,0.759,0.586,0.173333333,0.827,35.74,1.586,34.154,0.335,0.064666667,2.138666667,959.7636667,10.65666667,10.74666667,30.74666667,30.68333333,4.37,3.81,1.12,7.546666667,20
July,2003,Taylor,3.997819974,0.522415397,2.083333333,1.06,0.887333333,0.173,3.1175,30.13783333,4.1775,25.96066667,0.2355,0.099666667,0.723333333,626.0938333,25.19666667,25.46666667,29.71333333,29.70333333,5.666666667,5.736666667,3.706666667,8.115,16
July,2004,Shark,13.01014459,1.863360372,2.566666667,0.928,0.763333333,0.164666667,0.877,38.564,1.805,36.75966667,0.292666667,0.036333333,2.49,1272.924667,19.49666667,20.44666667,30.76666667,29.73666667,5.2,5.4,1.493333333,7.836666667,14
March,2000,Shark,0.02438867,0.32419949,2.566666667,2.279333333,2.209333333,0.077333333,0.729333333,34.97733333,3.008666667,31.96866667,0.574,0.029333333,3.829333333,1160.340333,13,13.26666667,24.2,23.93333333,7.933333333,7.966666667,2.52,NA,1
May,1996,Taylor,2.386210333,0.340887193,2.083333333,0.5525,0.422833333,0.130333333,1.855666667,48.02966667,2.408166667,45.6215,0.3565,0.053666667,0.809,632.5591667,29.83333333,29.83333333,26.93333333,26.91666667,6.683333333,6.8,10.2,NA,8
October,1996,Shark,6.904880496,0.986411503,2.566666667,1.224,1.034666667,0.189333333,0.469666667,59.845,1.693333333,58.152,0.516,0.055333333,1.792,1164.444667,8.466666667,8.566666667,25.73333333,25.7,4.766666667,4.833333333,2.816666667,NA,12
October,1996,Taylor,3.967072941,0.566724716,2.083333333,1.560166667,1.282833333,0.277833333,6.293,56.27816667,7.853,48.42516667,0.336,0.014833333,1.906833333,728.111,21.81666667,21.83333333,24.6,24.6,6.216666667,6.183333333,10.05833333,NA,19
October,1997,Shark,27.59153045,3.94164721,2.566666667,1.365,1.223,0.143,1.187666667,63.412,2.552666667,60.85966667,0.646,0.041,2.582,1160.069667,4.6,4.666666667,28.26666667,28.26666667,7.166666667,7.2,2.08,NA,15
October,1997,Taylor,5.37169798,0.767385421,2.083333333,1.241,1.0605,0.180666667,2.771,47.58016667,4.011833333,43.56833333,0.336,0.026833333,0.906166667,665.8541667,22.31666667,24.21666667,24.8,25.2,5.85,5.7,3.166666667,NA,15
October,1998,Shark,14.84552509,2.120789303,2.566666667,1.021333333,0.879666667,0.141666667,1.127,40.26133333,2.147666667,38.114,0.778666667,0.183666667,6.954333333,936.521,16.16666667,16.43333333,28.9,30.16666667,3.8,3.666666667,3.866666667,NA,15
October,1998,Taylor,6.847460299,0.978208614,2.4,0.04,0,0.04,0.133,33.35,0.173,33.177,0.956,0.288,9.71,617.667,34.4,34.3,29.1,29.2,5.7,5.9,21.35,NA,14
October,1999,Shark,5.986194773,0.85517069,2.566666667,3.486333333,3.209666667,0.276666667,2.062,33.269,5.547666667,27.72133333,0.779333333,-3332.948333,2.050666667,811.9166667,3.466666667,3.933333333,27.03333333,26.9,7.133333333,7.166666667,2.176666667,NA,11
October,1999,Taylor,3.030716595,0.432959517,2.083333333,2.4795,2.1715,0.308,16.934,40.83666667,19.41333333,21.48483333,0.554,0.119833333,4.680166667,607.0348333,18.76666667,19.15,23.55,23.55,5.15,5.1,18.36166667,NA,12
October,2000,Shark,24.27427852,3.467754075,2.566666667,0.891666667,0.762333333,0.129333333,0.988333333,31.59166667,1.88,29.712,0.364333333,0.041,1.004,692.5556667,-3329.333333,-3327.6,27.8,27.73333333,6.466666667,6.366666667,1.613333333,NA,15
October,2000,Taylor,16.27254175,2.324648825,2.083333333,1.502833333,1.278666667,0.224333333,2.5,29.6345,4.0025,25.63216667,0.2355,0.079833333,1.081166667,708.243,23.61666667,26.8,25.15,25.28333333,5.916666667,5.783333333,5.001666667,NA,16
October,2002,Shark,15.27283664,2.181833805,2.566666667,1.178333333,0.967666667,0.211,0.636333333,71.149,1.814666667,69.33466667,0.367333333,0.045666667,0.403333333,932.7573333,7.093333333,10.19,29.11333333,29.03333333,4.41,4.32,1.736666667,7.676666667,16
October,2002,Taylor,10.06042174,1.437203097,2.083333333,1.061666667,0.917166667,0.1445,1.789333333,21.2805,2.851166667,18.42933333,0.398833333,0.1005,0.857666667,600.5521667,25.00833333,26.16,26.955,27.06666667,5.896666667,6.091666667,3.571666667,8.053333333,16
October,2003,Shark,13.3696061,1.909943722,2.566666667,0.758666667,0.604666667,0.154333333,0.936,39.50666667,1.694333333,37.81233333,0.398,0.173333333,2.364666667,1009.048667,9.813333333,10.11,26.97666667,26.89333333,4.716666667,4.416666667,2.836666667,7.606666667,19
October,2003,Taylor,5.538418082,0.791202577,2.083333333,0.913,0.745166667,0.168,3.594833333,29.74433333,4.507833333,25.23683333,0.287166667,0.105833333,1.5,691.1425,21.25666667,22.25333333,28.67833333,28.67166667,5.681666667,5.826666667,4.04,8.203333333,18
October,2004,Shark,12.40336266,1.77190894,2.566666667,1.796,1.564666667,0.231666667,1.448,27.976,3.244333333,24.73166667,0.427333333,0.068666667,2.123666667,956.5413333,7.666666667,8.033333333,28.65,28.64,6.4,6.476666667,2.776666667,7.55,21
October,2004,Taylor,1.822619087,0.260374161,2.083333333,1.697666667,1.415833333,0.282,4.420333333,27.42666667,6.117666667,21.30866667,0.2035,0.037,0.780166667,695.1356667,31.62333333,32.215,26.94,26.98666667,4.931666667,5.05,3.85,8.053333333,11
September,2001,Shark,6.08860179,0.869800264,2.566666667,1.381333333,1.141666667,0.239333333,0.922,36.099,2.303333333,33.79566667,0.343666667,0.034333333,1.233,1095.625,9.61,9.87,28.54333333,28.46333333,3.676666667,3.593333333,1.933333333,NA,13
September,2001,Taylor,10.90142316,1.557346166,2.083333333,1.2185,0.9315,0.287333333,1.735333333,18.01983333,2.953666667,15.06616667,0.2585,0.033166667,0.572166667,793.7498333,26.62,27.1,30.61666667,30.47333333,5.281666667,5.711666667,3.123333333,NA,10
